number,name,form,hundo_cp,hundo_wb_cp,weather0,weather1,raid_tier,type0,type1,shiny_enable
381,Latios,normal,2178,2723,Windy,None,5,Dragon,Psychic,true
382,Kyogre,normal,2351,2939,Rainy,None,5,Water,None,true
383,Groudon,normal,2351,2939,Sunny/Clear,None,5,Ground,None,true
384,Rayquaza,normal,2186,2733,Windy,None,5,Dragon,Flying,true
385,Jirachi,normal,1865,2332,Snow,Windy,5,Steel,Psychic,true
386,Deoxys,normal,1806,2257,Windy,None,1,Psychic,None,true
387,Turtwig,normal,678,848,Sunny/Clear,None,1,Grass,None,true
388,Grotle,normal,1080,1350,Sunny/Clear,None,1,Grass,None,true
389,Torterra,normal,1677,2096,Sunny/Clear,None,1,Grass,Ground,true
390,Chimchar,normal,547,683,Sunny/Clear,None,1,Fire,None,true
391,Monferno,normal,899,1124,Sunny/Clear,Cloudy,1,Fire,Fighting,true
392,Infernape,normal,1533,1916,Sunny/Clear,Cloudy,1,Fire,Fighting,true
393,Piplup,normal,614,767,Rainy,None,1,Water,None,true
394,Prinplup,normal,972,1215,Rainy,None,1,Water,None,true
395,Empoleon,normal,1657,2072,Rainy,Snow,1,Water,Steel,true
399,Bidoof,normal,412,515,Partly Cloudy,None,1,Normal,None,true
400,Bibarel,normal,1041,1302,Partly Cloudy,Rainy,1,Normal,Water,true
401,Kricketot,normal,229,286,Rainy,None,1,Bug,None,true
402,Kricketune,normal,944,1181,Rainy,None,1,Bug,None,true
403,Shinx,normal,500,625,Rainy,None,1,Electric,None,true
404,Luxio,normal,849,1061,Rainy,None,1,Electric,None,true
405,Luxray,normal,1650,2063,Rainy,None,1,Electric,None,true
406,Budew,normal,489,611,Sunny/Clear,Cloudy,1,Grass,Poison,true
407,Roserade,normal,1697,2122,Sunny/Clear,Cloudy,1,Grass,Poison,true
408,Cranidos,normal,1040,1300,Partly Cloudy,None,1,Rock,None,true
409,Rampardos,normal,1884,2355,Partly Cloudy,None,5,Rock,None,true
410,Shieldon,normal,509,636,Partly Cloudy,Snow,1,Rock,Steel,true
411,Bastiodon,normal,879,1100,Partly Cloudy,Snow,1,Rock,Steel,true
412,Burmy,normal,279,348,Rainy,None,1,Bug,None,true
413,Wormadam,plant,1013,1267,Rainy,Sunny/Clear,1,Bug,Grass,true
414,Mothim,normal,1037,1297,Rainy,Windy,1,Bug,Flying,true
415,Combee,normal,282,353,Rainy,Windy,1,Bug,Flying,true
416,Vespiquen,normal,1145,1432,Rainy,Windy,1,Bug,Flying,true
417,Pachirisu,normal,693,867,Rainy,None,1,Electric,None,true
418,Buizel,normal,602,753,Rainy,None,1,Water,None,true
419,Floatzel,normal,1396,1745,Rainy,None,1,Water,None,true
420,Cherubi,normal,542,678,Sunny/Clear,None,1,Grass,None,true
421,Cherrim,normal,1170,1462,Sunny/Clear,None,1,Grass,None,true
422,Shellos,normal,649,811,Rainy,None,1,Water,None,true
423,Gastrodon,normal,1328,1660,Rainy,Sunny/Clear,1,Water,Ground,true
424,Ambipom,normal,1381,1727,Partly Cloudy,None,1,Normal,None,true
425,Drifloon,normal,684,855,Fog,Windy,1,Ghost,Flying,true
426,Drifblim,normal,1361,1701,Fog,Windy,1,Ghost,Flying,true
427,Buneary,normal,719,899,Partly Cloudy,None,1,Normal,None,true
428,Lopunny,normal,1177,1471,Partly Cloudy,None,1,Normal,None,true
429,Mismagius,normal,1494,1868,Fog,None,1,Ghost,None,true
430,Honchkrow,normal,1549,1937,Fog,Windy,1,Dark,Flying,true
431,Glameow,normal,533,667,Partly Cloudy,None,1,Normal,None,true
432,Purugly,normal,1116,1395,Partly Cloudy,None,1,Normal,None,true
433,Chingling,normal,574,718,Windy,None,1,Psychic,None,true
434,Stunky,normal,657,822,Cloudy,Fog,1,Poison,Dark,true
435,Skuntank,normal,1347,1684,Cloudy,Fog,1,Poison,Dark,true
436,Bronzor,normal,344,430,Snow,Windy,1,Steel,Psychic,true
437,Bronzong,normal,1279,1599,Snow,Windy,1,Steel,Psychic,true
438,Bonsly,normal,744,930,Partly Cloudy,None,1,Rock,None,true
439,Mime,jr,626,782,Windy,Cloudy,1,Psychic,Fairy,true
440,Happiny,normal,212,265,Partly Cloudy,None,1,Normal,None,true
441,Chatot,normal,1023,1279,Partly Cloudy,Windy,1,Normal,Flying,true
442,Spiritomb,normal,1184,1480,Fog,None,1,Ghost,Dark,true
443,Gible,normal,635,794,Windy,Sunny/Clear,1,Dragon,Ground,true
444,Gabite,normal,1071,1339,Windy,Sunny/Clear,1,Dragon,Ground,true
445,Garchomp,normal,2264,2830,Windy,Sunny/Clear,5,Dragon,Ground,true
446,Munchlax,normal,1081,1351,Partly Cloudy,None,1,Normal,None,true
447,Riolu,normal,567,709,Cloudy,None,1,Fighting,None,true
448,Lucario,normal,1544,1930,Cloudy,Snow,1,Fighting,Steel,true
449,Hippopotas,normal,776,970,Sunny/Clear,None,1,Ground,None,true
450,Hippowdon,normal,1763,2204,Sunny/Clear,None,1,Ground,None,true
451,Skorupi,normal,576,721,Cloudy,Rainy,1,Poison,Bug,true
452,Drapion,normal,1401,1752,Cloudy,Fog,1,Poison,Dark,true
453,Croagunk,normal,544,680,Cloudy,None,1,Poison,Fighting,true
454,Toxicroak,normal,1421,1777,Cloudy,None,1,Poison,Fighting,true
455,Carnivine,normal,1233,1542,Sunny/Clear,None,1,Grass,None,true
456,Finneon,normal,555,694,Rainy,None,1,Water,None,true
457,Lumineon,normal,1036,1295,Rainy,None,1,Water,None,true
458,Mantyke,normal,713,891,Rainy,Windy,1,Water,Flying,true
459,Snover,normal,662,828,Sunny/Clear,Snow,1,Grass,Ice,true
460,Abomasnow,normal,1349,1687,Sunny/Clear,Snow,1,Grass,Ice,true
461,Weavile,normal,1717,2146,Fog,Snow,1,Dark,Ice,true
462,Magnezone,normal,1831,2289,Rainy,Snow,5,Electric,Steel,true
463,Lickilicky,normal,1409,1762,Partly Cloudy,None,1,Normal,None,true
464,Rhyperior,normal,2133,2667,Sunny/Clear,Partly Cloudy,5,Ground,Rock,true
465,Tangrowth,normal,1731,2164,Sunny/Clear,None,1,Grass,None,true
466,Electivire,normal,1759,2199,Rainy,None,1,Electric,None,true
467,Magmortar,normal,1790,2237,Sunny/Clear,None,1,Fire,None,true
468,Togekiss,normal,1904,2380,Cloudy,Windy,5,Fairy,Flying,true
469,Yanmega,normal,1683,2104,Rainy,Windy,1,Bug,Flying,true
470,Leafeon,normal,1682,2103,Sunny/Clear,None,1,Grass,None,true
471,Glaceon,normal,1786,2233,Snow,None,1,Ice,None,true
472,Gliscor,normal,1538,1923,Sunny/Clear,Windy,1,Ground,Flying,true
473,Mamoswine,normal,1902,2377,Snow,Sunny/Clear,5,Ice,Ground,true
474,Porygon Z,normal,1866,2333,Partly Cloudy,None,5,Normal,None,true
475,Gallade,normal,1767,2209,Windy,Cloudy,1,Psychic,Fighting,true
476,Probopass,normal,1188,1485,Partly Cloudy,Snow,1,Rock,Steel,true
477,Dusknoir,normal,1364,1706,Fog,None,1,Ghost,None,true
478,Froslass,normal,1166,1457,Snow,Fog,1,Ice,Ghost,true
479,Rotom,normal,1160,1451,Rainy,Fog,1,Electric,Ghost,true
480,Uxie,normal,1442,1803,Windy,None,1,Psychic,None,true
481,Mesprit,normal,1747,2184,Windy,None,1,Psychic,None,true
482,Azelf,normal,1834,2293,Windy,None,5,Psychic,None,true
483,Dialga,normal,2307,2884,Snow,Windy,5,Steel,Dragon,true
484,Palkia,normal,2274,2843,Rainy,Windy,5,Water,Dragon,true
485,Heatran,normal,2145,2681,Sunny/Clear,Snow,5,Fire,Steel,true
486,Regigigas,normal,2478,3098,Partly Cloudy,None,5,Normal,None,true
487,Giratina,altered,1931,2414,Fog,Windy,5,Ghost,Dragon,true
488,Cresselia,normal,1633,2041,Windy,None,1,Psychic,None,true
489,Phione,normal,1203,1504,Rainy,None,1,Water,None,true
490,Manaphy,normal,1865,2332,Rainy,None,5,Water,None,true
491,Darkrai,normal,2136,2671,Fog,None,5,Dark,None,true
492,Shaymin,land,1865,2332,Sunny/Clear,None,5,Grass,None,true
493,Arceus,normal,2279,2850,Partly Cloudy,None,5,Normal,None,true
494,Victini,normal,1865,2332,Windy,Sunny/Clear,5,Psychic,Fire,true
495,Snivy,normal,485,606,Sunny/Clear,None,1,Grass,None,true
496,Servine,normal,823,1029,Sunny/Clear,None,1,Grass,None,true
497,Serperior,normal,1301,1626,Sunny/Clear,None,1,Grass,None,true
498,Tepig,normal,618,773,Sunny/Clear,None,1,Fire,None,true
499,Pignite,normal,1099,1374,Sunny/Clear,Cloudy,1,Fire,Fighting,true
500,Emboar,normal,1704,2130,Sunny/Clear,Cloudy,1,Fire,Fighting,true
501,Oshawott,normal,597,747,Rainy,None,1,Water,None,true
502,Dewott,normal,995,1243,Rainy,None,1,Water,None,true
503,Samurott,normal,1614,2018,Rainy,None,1,Water,None,true
504,Patrat,normal,452,565,Partly Cloudy,None,1,Normal,None,true
505,Watchog,normal,1039,1299,Partly Cloudy,None,1,Normal,None,true
506,Lillipup,normal,523,654,Partly Cloudy,None,1,Normal,None,true
507,Herdier,normal,904,1130,Partly Cloudy,None,1,Normal,None,true
508,Stoutland,normal,1615,2019,Partly Cloudy,None,1,Normal,None,true
509,Purrloin,normal,441,551,Fog,None,1,Dark,None,true
510,Liepard,normal,1055,1318,Fog,None,1,Dark,None,true
511,Pansage,normal,546,683,Sunny/Clear,None,1,Grass,None,true
512,Simisage,normal,1343,1679,Sunny/Clear,None,1,Grass,None,true
513,Pansear,normal,546,683,Sunny/Clear,None,1,Fire,None,true
514,Simisear,normal,1343,1679,Sunny/Clear,None,1,Fire,None,true
515,Panpour,normal,546,683,Rainy,None,1,Water,None,true
516,Simipour,normal,1343,1679,Rainy,None,1,Water,None,true
517,Munna,normal,654,818,Windy,None,1,Psychic,None,true
518,Musharna,normal,1556,1945,Windy,None,1,Psychic,None,true
519,Pidove,normal,484,605,Partly Cloudy,Windy,1,Normal,Flying,true
520,Tranquill,normal,824,1030,Partly Cloudy,Windy,1,Normal,Flying,true
521,Unfezant,normal,1562,1953,Partly Cloudy,Windy,1,Normal,Flying,true
522,Blitzle,normal,504,630,Rainy,None,1,Electric,None,true
523,Zebstrika,normal,1387,1734,Rainy,None,1,Electric,None,true
524,Roggenrola,normal,688,860,Partly Cloudy,None,1,Rock,None,true
525,Boldore,normal,1159,1449,Partly Cloudy,None,1,Rock,None,true
526,Gigalith,normal,1844,2306,Partly Cloudy,None,5,Rock,None,true
527,Woobat,normal,580,726,Windy,None,1,Psychic,Flying,true
528,Swoobat,normal,980,1226,Windy,None,1,Psychic,Flying,true
529,Drilbur,normal,786,983,Sunny/Clear,None,1,Ground,None,true
530,Excadrill,normal,1853,2317,Sunny/Clear,Snow,5,Ground,Steel,true
531,Audino,normal,961,1201,Partly Cloudy,None,1,Normal,None,true
532,Timburr,normal,751,939,Cloudy,None,1,Fighting,None,true
533,Gurdurr,normal,1239,1549,Cloudy,None,1,Fighting,None,true
534,Conkeldurr,normal,1907,2384,Cloudy,None,5,Fighting,None,true
535,Tympole,normal,479,599,Rainy,None,1,Water,None,true
536,Palpitoad,normal,795,994,Rainy,Sunny/Clear,1,Water,Ground,true
537,Seismitoad,normal,1465,1832,Rainy,Sunny/Clear,1,Water,Ground,true
538,Throh,normal,1464,1830,Cloudy,None,1,Fighting,None,true
539,Sawk,normal,1593,1991,Cloudy,None,1,Fighting,None,true
540,Sewaddle,normal,558,698,Rainy,Sunny/Clear,1,Bug,Grass,true
541,Swadloon,normal,783,979,Rainy,Sunny/Clear,1,Bug,Grass,true
542,Leavanny,normal,1474,1843,Rainy,Sunny/Clear,1,Bug,Grass,true
543,Venipede,normal,403,504,Rainy,Cloudy,1,Bug,Poison,true
544,Whirlipede,normal,653,817,Rainy,Cloudy,1,Bug,Poison,true
545,Scolipede,normal,1398,1747,Rainy,Cloudy,1,Bug,Poison,true
546,Cottonee,normal,400,500,Sunny/Clear,Cloudy,1,Grass,Fairy,true
547,Whimsicott,normal,1151,1439,Sunny/Clear,Cloudy,1,Grass,Fairy,true
548,Petilil,normal,588,736,Sunny/Clear,None,1,Grass,None,true
549,Lilligant,normal,1457,1821,Sunny/Clear,None,1,Grass,None,true
550,Basculin,red-striped,1194,1493,Rainy,None,1,Water,None,true
551,Sandile,normal,592,741,Sunny/Clear,Fog,1,Ground,Dark,true
552,Krokorok,normal,810,1013,Sunny/Clear,Fog,1,Ground,Dark,true
553,Krookodile,normal,1740,2176,Sunny/Clear,Fog,1,Ground,Dark,true
554,Darumaka,normal,823,1030,Sunny/Clear,None,1,Fire,None,true
555,Darmanitan,standard,1774,2218,Sunny/Clear,None,1,Fire,None,true
556,Maractus,normal,1299,1624,Sunny/Clear,None,1,Grass,None,true
557,Dwebble,normal,699,874,Rainy,Partly Cloudy,1,Bug,Rock,true
558,Crustle,normal,1452,1815,Rainy,Partly Cloudy,1,Bug,Rock,true
559,Scraggy,normal,784,980,Fog,Cloudy,1,Dark,Fighting,true
560,Scrafty,normal,1304,1631,Fog,Cloudy,1,Dark,Fighting,true
561,Sigilyph,normal,1457,1821,Windy,None,1,Psychic,Flying,true
562,Yamask,normal,561,701,Fog,None,1,Ghost,None,true
563,Cofagrigus,normal,1299,1624,Fog,None,1,Ghost,None,true
564,Tirtouga,normal,850,1063,Rainy,Partly Cloudy,1,Water,Rock,true
565,Carracosta,normal,1498,1872,Rainy,Partly Cloudy,1,Water,Rock,true
566,Archen,normal,1052,1316,Partly Cloudy,Windy,1,Rock,Flying,true
567,Archeops,normal,1903,2379,Partly Cloudy,Windy,5,Rock,Flying,true
568,Trubbish,normal,571,714,Cloudy,None,1,Poison,None,true
569,Garbodor,normal,1339,1675,Cloudy,None,1,Poison,None,true
570,Zorua,normal,671,839,Fog,None,1,Dark,None,true
571,Zoroark,normal,1469,1836,Fog,None,1,Dark,None,true
572,Minccino,normal,498,623,Partly Cloudy,None,1,Normal,None,true
573,Cinccino,normal,1281,1601,Partly Cloudy,None,1,Normal,None,true
574,Gothita,normal,543,679,Windy,None,1,Psychic,None,true
575,Gothorita,normal,916,1146,Windy,None,1,Psychic,None,true
576,Gothitelle,normal,1382,1728,Windy,None,1,Psychic,None,true
577,Solosis,normal,781,977,Windy,None,1,Psychic,None,true
578,Duosion,normal,1153,1441,Windy,None,1,Psychic,None,true
579,Reuniclus,normal,1672,2091,Windy,None,1,Psychic,None,true
580,Ducklett,normal,489,612,Rainy,Windy,1,Water,Flying,true
581,Swanna,normal,1193,1491,Rainy,Windy,1,Water,Flying,true
582,Vanillite,normal,590,738,Snow,None,1,Ice,None,true
583,Vanillish,normal,909,1136,Snow,None,1,Ice,None,true
584,Vanilluxe,normal,1612,2015,Snow,None,1,Ice,None,true
585,Deerling,normal,648,810,Partly Cloudy,Sunny/Clear,1,Normal,Grass,true
586,Sawsbuck,normal,1381,1726,Partly Cloudy,Sunny/Clear,1,Normal,Grass,true
587,Emolga,normal,933,1166,Rainy,Windy,1,Electric,Flying,true
588,Karrablast,normal,675,844,Rainy,None,1,Bug,None,true
589,Escavalier,normal,1650,2063,Rainy,Snow,1,Bug,Steel,true
590,Foongus,normal,559,699,Sunny/Clear,Cloudy,1,Grass,Poison,true
591,Amoonguss,normal,1223,1529,Sunny/Clear,Cloudy,1,Grass,Poison,true
592,Frillish,male,718,898,Rainy,Fog,1,Water,Ghost,true
593,Jellicent,male,1336,1670,Rainy,Fog,1,Water,Ghost,true
594,Alomomola,normal,1239,1549,Rainy,None,1,Water,None,true
595,Joltik,normal,584,730,Rainy,None,1,Bug,Electric,true
596,Galvantula,normal,1260,1575,Rainy,None,1,Bug,Electric,true
597,Ferroseed,normal,537,672,Sunny/Clear,Snow,1,Grass,Steel,true
598,Ferrothorn,normal,1326,1658,Sunny/Clear,Snow,1,Grass,Steel,true
599,Klink,normal,546,683,Snow,None,1,Steel,None,true
600,Klang,normal,1055,1319,Snow,None,1,Steel,None,true
601,Klinklang,normal,1506,1883,Snow,None,1,Steel,None,true
602,Tynamo,normal,463,579,Rainy,None,1,Electric,None,true
603,Eelektrik,normal,980,1225,Rainy,None,1,Electric,None,true
604,Eelektross,normal,1561,1952,Rainy,None,1,Electric,None,true
605,Elgyem,normal,791,989,Windy,None,1,Psychic,None,true
606,Beheeyem,normal,1573,1966,Windy,None,1,Psychic,None,true
607,Litwick,normal,575,719,Fog,Sunny/Clear,1,Ghost,Fire,true
608,Lampent,normal,976,1220,Fog,Sunny/Clear,1,Ghost,Fire,true
609,Chandelure,normal,1867,2335,Fog,Sunny/Clear,5,Ghost,Fire,true
610,Axew,normal,782,977,Windy,None,1,Dragon,None,true
611,Fraxure,normal,1276,1596,Windy,None,1,Dragon,None,true
612,Haxorus,normal,2053,2566,Windy,None,5,Dragon,None,true
613,Cubchoo,normal,610,763,Snow,None,1,Ice,None,true
614,Beartic,normal,1738,2173,Snow,None,1,Ice,None,true
615,Cryogonal,normal,1598,1998,Snow,None,1,Ice,None,true
616,Shelmet,normal,476,595,Rainy,None,1,Bug,None,true
617,Accelgor,normal,1395,1744,Rainy,None,1,Bug,None,true
618,Stunfisk,normal,1235,1544,Sunny/Clear,Rainy,1,Ground,Electric,true
619,Mienfoo,normal,793,992,Cloudy,None,1,Fighting,None,true
620,Mienshao,normal,1548,1936,Cloudy,None,1,Fighting,None,true
621,Druddigon,normal,1561,1951,Windy,None,1,Dragon,None,true
622,Golett,normal,679,849,Sunny/Clear,Fog,1,Ground,Ghost,true
623,Golurk,normal,1630,2038,Sunny/Clear,Fog,1,Ground,Ghost,true
624,Pawniard,normal,819,1024,Fog,Snow,1,Dark,Steel,true
625,Bisharp,normal,1625,2031,Fog,Snow,1,Dark,Steel,true
626,Bouffalant,normal,1598,1998,Partly Cloudy,None,1,Normal,None,true
627,Rufflet,normal,852,1065,Partly Cloudy,Windy,1,Normal,Flying,true
628,Braviary,normal,1764,2206,Partly Cloudy,Windy,1,Normal,Flying,true
629,Vullaby,normal,726,908,Fog,Windy,1,Dark,Flying,true
630,Mandibuzz,normal,1221,1527,Fog,Windy,1,Dark,Flying,true
631,Heatmor,normal,1368,1711,Sunny/Clear,None,1,Fire,None,true
632,Durant,normal,1519,1900,Rainy,Snow,1,Bug,Steel,true
633,Deino,normal,606,758,Fog,Windy,1,Dark,Dragon,true
634,Zweilous,normal,1051,1313,Fog,Windy,1,Dark,Dragon,true
635,Hydreigon,normal,2071,2589,Fog,Windy,5,Dark,Dragon,true
636,Larvesta,normal,855,1069,Rainy,Sunny/Clear,1,Bug,Fire,true
637,Volcarona,normal,2075,2594,Rainy,Sunny/Clear,5,Bug,Fire,true
638,Cobalion,normal,1727,2159,Snow,Cloudy,1,Steel,Fighting,true
639,Terrakion,normal,2113,2641,Partly Cloudy,Cloudy,5,Rock,Fighting,true
640,Virizion,normal,1727,2159,Sunny/Clear,Cloudy,1,Grass,Fighting,true
641,Tornadus,incarnate,1911,2389,Windy,None,5,Flying,None,true
642,Thundurus,incarnate,1911,2389,Rainy,Windy,5,Electric,Flying,true
643,Reshiram,normal,2307,2884,Windy,Sunny/Clear,5,Dragon,Fire,true
644,Zekrom,normal,2307,2884,Windy,Rainy,5,Dragon,Electric,true
645,Landorus,incarnate,2050,2563,Sunny/Clear,Windy,5,Ground,Flying,true
646,Kyurem,normal,2038,2548,Windy,Snow,5,Dragon,Ice,true
647,Keldeo,ordinary,2113,2641,Rainy,Cloudy,5,Water,Fighting,true
648,Meloetta,aria,2269,2837,Partly Cloudy,Windy,5,Normal,Psychic,true
649,Genesect,normal,1916,2395,Rainy,Snow,5,Bug,Steel,true
650,Chespin,normal,626,783,Sunny/Clear,None,1,Grass,None,true
651,Quilladin,normal,982,1228,Sunny/Clear,None,1,Grass,None,true
652,Chesnaught,normal,1688,2110,Sunny/Clear,Cloudy,1,Grass,Fighting,true
653,Fennekin,normal,587,734,Sunny/Clear,None,1,Fire,None,true
654,Braixen,normal,1036,1295,Sunny/Clear,None,1,Fire,None,true
655,Delphox,normal,1748,2185,Sunny/Clear,Windy,1,Fire,Psychic,true
656,Froakie,normal,567,709,Rainy,None,1,Water,None,true
657,Frogadier,normal,935,1169,Rainy,None,1,Water,None,true
658,Greninja,normal,1516,1896,Rainy,Fog,1,Water,Dark,true
659,Bunnelby,normal,316,395,Partly Cloudy,None,1,Normal,None,true
660,Diggersby,normal,862,1078,Partly Cloudy,Sunny/Clear,1,Normal,Ground,true
661,Fletchling,normal,457,571,Partly Cloudy,Windy,1,Normal,Flying,true
662,Fletchinder,normal,839,1049,Sunny/Clear,Windy,1,Fire,Flying,true
663,Talonflame,normal,1260,1575,Sunny/Clear,Windy,1,Fire,Flying,true
664,Scatterbug,normal,281,351,Rainy,None,1,Bug,None,true
665,Spewpa,normal,274,342,Rainy,None,1,Bug,None,true
666,Vivillon,normal,1060,1325,Rainy,Windy,1,Bug,Flying,true
667,Litleo,normal,814,1018,Sunny/Clear,Partly Cloudy,1,Fire,Normal,true
668,Pyroar,male,1581,1977,Sunny/Clear,Partly Cloudy,1,Fire,Normal,true
669,Flabebe,normal,607,759,Cloudy,None,1,Fairy,None,true
670,Floette,normal,875,1094,Cloudy,None,1,Fairy,None,true
671,Florges,normal,1848,2310,Cloudy,None,5,Fairy,None,true
672,Skiddo,normal,714,893,Sunny/Clear,None,1,Grass,None,true
673,Gogoat,normal,1598,1998,Sunny/Clear,None,1,Grass,None,true
674,Pancham,normal,850,1063,Cloudy,None,1,Fighting,None,true
675,Pangoro,normal,1658,2073,Cloudy,Fog,1,Fighting,Dark,true
676,Furfrou,normal,1206,1508,Partly Cloudy,None,1,Normal,None,true
677,Espurr,normal,719,899,Windy,None,1,Psychic,None,true
678,Meowstic,male,1213,1517,Windy,None,1,Psychic,None,true
679,Honedge,normal,794,993,Snow,Fog,1,Steel,Ghost,true
680,Doublade,normal,1395,1745,Snow,Fog,1,Steel,Ghost,true
681,Aegislash,shield,882,1103,Snow,Fog,1,Steel,Ghost,true
682,Spritzee,normal,715,894,Cloudy,None,1,Fairy,None,true
683,Aromatisse,normal,1337,1672,Cloudy,None,1,Fairy,None,true
684,Swirlix,normal,673,842,Cloudy,None,1,Fairy,None,true
685,Slurpuff,normal,1256,1570,Cloudy,None,1,Fairy,None,true
686,Inkay,normal,529,662,Fog,Windy,1,Dark,Psychic,true
687,Malamar,normal,1347,1685,Fog,Windy,1,Dark,Psychic,true
688,Binacle,normal,540,675,Partly Cloudy,Rainy,1,Rock,Water,true
689,Barbaracle,normal,1528,1911,Partly Cloudy,Rainy,1,Rock,Water,true
690,Skrelp,normal,607,759,Cloudy,Rainy,1,Poison,Water,true
691,Dragalge,normal,1362,1702,Cloudy,Windy,1,Poison,Dragon,true
692,Clauncher,normal,621,777,Rainy,None,1,Water,None,true
693,Clawitzer,normal,1579,1974,Rainy,None,1,Water,None,true
694,Helioptile,normal,533,666,Rainy,Partly Cloudy,1,Electric,Normal,true
695,Heliolisk,normal,1485,1857,Rainy,Partly Cloudy,1,Electric,Normal,true
696,Tyrunt,normal,934,1168,Partly Cloudy,Windy,1,Rock,Dragon,true
697,Tyrantrum,normal,1787,2234,Partly Cloudy,Windy,1,Rock,Dragon,true
698,Amaura,normal,779,974,Partly Cloudy,Snow,1,Rock,Ice,true
699,Aurorus,normal,1601,2001,Partly Cloudy,Snow,1,Rock,Ice,true
700,Sylveon,normal,1753,2192,Cloudy,None,1,Fairy,None,true
701,Hawlucha,normal,1377,1721,Cloudy,Windy,1,Fighting,Flying,true
702,Dedenne,normal,1051,1315,Rainy,Cloudy,1,Electric,Fairy,true
703,Carbink,normal,838,1047,Partly Cloudy,Cloudy,1,Rock,Fairy,true
704,Goomy,normal,557,697,Windy,None,1,Dragon,None,true
705,Sliggoo,normal,1164,1455,Windy,None,1,Dragon,None,true
706,Goodra,normal,2003,2504,Windy,None,5,Dragon,None,true
707,Klefki,normal,1114,1392,Snow,Cloudy,1,Steel,Fairy,true
708,Phantump,normal,642,802,Fog,Sunny/Clear,1,Ghost,Grass,true
709,Trevenant,normal,1462,1828,Fog,Sunny/Clear,1,Ghost,Grass,true
710,Pumpkaboo,average,698,872,Fog,Sunny/Clear,1,Ghost,Grass,true
711,Gourgeist,average,1366,1707,Fog,Sunny/Clear,1,Ghost,Grass,true
712,Bergmite,normal,694,868,Snow,None,1,Ice,None,true
713,Avalugg,normal,1827,2284,Snow,None,1,Ice,None,true
714,Noibat,normal,381,476,Windy,None,1,Flying,Dragon,true
715,Noivern,normal,1579,1974,Windy,None,1,Flying,Dragon,true
716,Xerneas,normal,2160,2701,Cloudy,None,5,Fairy,None,true
717,Yveltal,normal,2160,2701,Fog,Windy,5,Dark,Flying,true
718,Zygarde,50,1948,2436,Windy,Sunny/Clear,5,Dragon,Ground,true
719,Diancie,normal,1562,1953,Partly Cloudy,Cloudy,1,Rock,Fairy,true
720,Hoopa,normal,1919,2399,Windy,Fog,5,Psychic,Ghost,true
721,Volcanion,normal,2073,2592,Sunny/Clear,Rainy,5,Fire,Water,true
722,Rowlet,normal,604,755,Sunny/Clear,Windy,1,Grass,Flying,true
723,Dartrix,normal,985,1232,Sunny/Clear,Windy,1,Grass,Flying,true
724,Decidueye,normal,1585,1982,Sunny/Clear,Fog,1,Grass,Ghost,true
725,Litten,normal,591,739,Sunny/Clear,None,1,Fire,None,true
726,Torracat,normal,977,1222,Sunny/Clear,None,1,Fire,None,true
727,Incineroar,normal,1712,2140,Sunny/Clear,Fog,1,Fire,Dark,true
728,Popplio,normal,645,806,Rainy,None,1,Water,None,true
729,Brionne,normal,1077,1346,Rainy,None,1,Water,None,true
730,Primarina,normal,1829,2286,Rainy,Cloudy,5,Water,Fairy,true
731,Pikipek,normal,520,650,Partly Cloudy,Windy,1,Normal,Flying,true
732,Trumbeak,normal,844,1056,Partly Cloudy,Windy,1,Normal,Flying,true
733,Toucannon,normal,1536,1920,Partly Cloudy,Windy,1,Normal,Flying,true
734,Yungoos,normal,502,628,Partly Cloudy,None,1,Normal,None,true
735,Gumshoos,normal,1248,1561,Partly Cloudy,None,1,Normal,None,true
736,Grubbin,normal,562,703,Rainy,None,1,Bug,None,true
737,Charjabug,normal,970,1212,Rainy,None,1,Bug,Electric,true
738,Vikavolt,normal,1781,2226,Rainy,None,1,Bug,Electric,true
739,Crabrawler,normal,778,973,Cloudy,None,1,Fighting,None,true
740,Crabominable,normal,1661,2076,Cloudy,Snow,1,Fighting,Ice,true
741,Oricorio,baile,1333,1667,Sunny/Clear,Windy,1,Fire,Flying,true
742,Cutiefly,normal,507,634,Rainy,Cloudy,1,Bug,Fairy,true
743,Ribombee,normal,1257,1572,Rainy,Cloudy,1,Bug,Fairy,true
744,Rockruff,normal,543,679,Partly Cloudy,None,1,Rock,None,true
745,Lycanroc,midday,1530,1912,Partly Cloudy,None,1,Rock,None,true
746,Wishiwashi,solo,198,247,Rainy,None,1,Water,None,true
747,Mareanie,normal,555,694,Cloudy,Rainy,1,Poison,Water,true
748,Toxapex,normal,963,1204,Cloudy,Rainy,1,Poison,Water,true
749,Mudbray,normal,1081,1351,Sunny/Clear,None,1,Ground,None,true
750,Mudsdale,normal,1740,2175,Sunny/Clear,None,1,Ground,None,true
751,Dewpider,normal,408,510,Rainy,None,1,Water,Bug,true
752,Araquanid,normal,1044,1305,Rainy,None,1,Water,Bug,true
753,Fomantis,normal,423,529,Sunny/Clear,None,1,Grass,None,true
754,Lurantis,normal,1370,1713,Sunny/Clear,None,1,Grass,None,true
755,Morelull,normal,590,738,Sunny/Clear,Cloudy,1,Grass,Fairy,true
756,Shiinotic,normal,1063,1329,Sunny/Clear,Cloudy,1,Grass,Fairy,true
757,Salandit,normal,641,801,Cloudy,Sunny/Clear,1,Poison,Fire,true
